"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 6 51 848 9857 0.105263157894737 0.0792153199439514 "Monocle" "00"
"2" "Monocle.01" 6 51 848 9857 0.105263157894737 0.0792153199439514 "Monocle" "01"
"3" "Monocle.02" 6 50 848 9857 0.107142857142857 0.0792153199439514 "Monocle" "02"
"4" "Monocle.03" 6 50 848 9857 0.107142857142857 0.0792153199439514 "Monocle" "03"
"5" "Monocle.04" 6 50 848 9857 0.107142857142857 0.0792153199439514 "Monocle" "04"
"6" "Monocle.05" 4 47 593 10112 0.0784313725490196 0.055394675385334 "Monocle" "05"
"7" "Monocle.06" 6 41 1131 9574 0.127659574468085 0.105651564689397 "Monocle" "06"
"8" "Monocle.07" 6 39 1131 9574 0.133333333333333 0.105651564689397 "Monocle" "07"
"9" "Monocle.08" 6 37 1131 9574 0.13953488372093 0.105651564689397 "Monocle" "08"
"10" "Monocle.09" 4 35 593 10112 0.102564102564103 0.055394675385334 "Monocle" "09"
"11" "Monocle.1" 4 31 626 10079 0.114285714285714 0.0584773470340962 "Monocle" "1"
"12" "Monocle.11" 2 32 370 10335 0.0588235294117647 0.034563288183092 "Monocle" "11"
"13" "Monocle.12" 4 27 1624 9081 0.129032258064516 0.151704810836058 "Monocle" "12"
"14" "Monocle.13" 4 27 1624 9081 0.129032258064516 0.151704810836058 "Monocle" "13"
"15" "Monocle.14" 4 25 1624 9081 0.137931034482759 0.151704810836058 "Monocle" "14"
"16" "Monocle.15" 4 23 1624 9081 0.148148148148148 0.151704810836058 "Monocle" "15"
"17" "Monocle.16" 4 22 3528 7177 0.153846153846154 0.329565623540402 "Monocle" "16"
"18" "Monocle.17" 6 19 5483 5222 0.24 0.512190565156469 "Monocle" "17"
"19" "Monocle.18" 6 15 6221 4484 0.285714285714286 0.58113031293788 "Monocle" "18"
"20" "Monocle.19" 6 15 6221 4484 0.285714285714286 0.58113031293788 "Monocle" "19"
"21" "Monocle.2" 6 15 6221 4484 0.285714285714286 0.58113031293788 "Monocle" "2"
"22" "Monocle.21" 6 14 6221 4484 0.3 0.58113031293788 "Monocle" "21"
"23" "Monocle.22" 4 14 5851 4854 0.222222222222222 0.546567024754787 "Monocle" "22"
"24" "Monocle.23" 0 16 0 10705 0 0 "Monocle" "23"
"25" "Monocle.24" 0 13 0 10705 0 0 "Monocle" "24"
"26" "Monocle.25" 0 13 0 10705 0 0 "Monocle" "25"
"27" "Monocle.26" 0 13 0 10705 0 0 "Monocle" "26"
"28" "Monocle.27" 0 13 0 10705 0 0 "Monocle" "27"
"29" "Monocle.28" 2 10 1523 9182 0.166666666666667 0.142269967304998 "Monocle" "28"
"30" "Monocle.29" 2 9 1560 9145 0.181818181818182 0.145726296123307 "Monocle" "29"
"31" "Monocle.3" 2 9 1560 9145 0.181818181818182 0.145726296123307 "Monocle" "3"
"32" "Monocle.31" 2 9 1560 9145 0.181818181818182 0.145726296123307 "Monocle" "31"
"33" "Monocle.32" 2 8 1560 9145 0.2 0.145726296123307 "Monocle" "32"
"34" "Monocle.33" 2 8 1560 9145 0.2 0.145726296123307 "Monocle" "33"
"35" "Monocle.34" 2 8 1560 9145 0.2 0.145726296123307 "Monocle" "34"
"36" "Monocle.35" 0 9 0 10705 0 0 "Monocle" "35"
"37" "Monocle.36" 0 9 0 10705 0 0 "Monocle" "36"
"38" "Monocle.37" 0 9 0 10705 0 0 "Monocle" "37"
"39" "Monocle.38" 0 9 0 10705 0 0 "Monocle" "38"
"40" "Monocle.39" 0 9 0 10705 0 0 "Monocle" "39"
"41" "Monocle.4" 0 9 0 10705 0 0 "Monocle" "4"
